"the_geom","t_addl","street_nam","f_addl","x","t_zip","fullname","i_strno","z","speed","y","str_nam","id","mounttype","poletype"
"POINT (-122.27127000259054 37.8487215986786)","1,817","ALCATRAZ","1,801","564,112.185627","94703","ALCATRAZ","0","-4.498","35","4,189,280.75514","M L KING JR WAY","17","Single Pole","SINGLE POLE"
"POINT (-122.27115754224732 37.848909656375966)","1,817","ALCATRAZ","1,801","564,121.916895","94703","ALCATRAZ","0","-4.677","35","4,189,301.69789","ALCATRAZ AVE","18","Single Pole","SINGLE POLE"
"POINT (-122.2718114206099 37.84698128606938)","0","62ND","0","564,066.057751","94703","62ND","1,728","0.059","35","4,189,087.29363","SIXTY-SECOND ST","19","Single Pole","SINGLE POLE"
"POINT (-122.2719057500315 37.847258684176936)","0","62ND","0","564,057.518498","94703","62ND","3,370","-0.956","35","4,189,118.00683","ADELINE ST","20","Single Pole","SINGLE POLE"
"POINT (-122.27155352758245 37.84722858102311)","0","ADELINE","0","564,088.533189","94703","ADELINE","3,372","-3.336","35","4,189,114.90777","M L KING JR WAY","21","Single Pole","SINGLE POLE"
"POINT (-122.27144287328106 37.84716223710204)","0","ADELINE","0","564,098.326587","94703","ADELINE","3,372","-3.318","35","4,189,107.62321","M L KING JR WAY","22","Single Pole","SINGLE POLE"
"POINT (-122.27162966337494 37.84704729045478)","0","ADELINE","0","564,081.992098","94703","ADELINE","3,372","-3.958","35","4,189,094.74114","M L KING JR WAY","23","Pole Mast","MASTARM POLE"
"POINT (-122.27153736322634 37.84715955627462)","0","ADELINE","0","564,090.015581","94703","ADELINE","3,372","-2.731","35","4,189,107.261","M L KING JR WAY","24","Pole Mast","MASTARM POLE"
"POINT (-122.27161672362698 37.847306751015914)","3,349","ADELINE","3,331","564,082.905141","94703","ADELINE","3,372","-2.943","35","4,189,123.53747","M L KING JR WAY","25","Single Pole","SINGLE POLE"
"POINT (-122.27925038753352 37.85333023144054)","1,499","ASHBY","1,437","563,406.130685","94702","ASHBY","1,441","-7.908","35","4,189,786.63983","ASHBY AVE","26","Pole Mast","MASTARM POLE"
"POINT (-122.2791899730675 37.85335589192394)","1,499","ASHBY","1,437","563,411.424072","94702","ASHBY","1,441","-6.14","35","4,189,789.52788","ASHBY AVE","27","Single Pole","SINGLE POLE"
"POINT (-122.27921738914691 37.85321463758819)","1,499","ASHBY","1,437","563,409.132823","94702","ASHBY","0","-10.263","35","4,189,773.83736","SACRAMENTO ST","28","Single Pole","SINGLE POLE"
"POINT (-122.27921020003227 37.85319753838092)","1,499","ASHBY","1,437","563,409.780002","94702","ASHBY","0","-7.868","35","4,189,771.94497","SACRAMENTO ST","29","Single Pole","SINGLE POLE"
"POINT (-122.29139474984497 37.8515905996083)","2,949","7TH","2,929","562,339.212386","94710","7TH","2,936","-19.012","35","4,189,585.44733","SEVENTH ST","30","Single Pole","SINGLE POLE"
