X,Y,OBJECTID,DISTRICT,RTE,RTE_SFX,CNTY,PM_PFX,PM,PM_SFX,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
4934327.22932431,4119846.95975655,5516,3,5,,YOL,R,22.61,,JCT. RTE. 505 SOUTH,2250,27000,24700,3350,39000,34000
4930694.29269256,4125037.23973031,5517,3,5,,YOL,R,23.787,,COUNTY ROAD 8,3350,39000,34000,3300,38000,33500
4930617.32106172,4124981.01084015,5518,3,5,,YOL,R,23.787,,COUNTY ROAD 8,3350,39000,34000,3300,38000,33500
4925334.81915955,4132785.11104555,5519,3,5,,YOL,R,25.572,,COUNTY ROAD 6,3300,38000,33500,3200,37000,33000
4925233.78983405,4132788.47357164,5520,3,5,,YOL,R,25.572,,COUNTY ROAD 6,3300,38000,33500,3200,37000,33000
4918712.85635364,4149212.56900422,5521,3,5,,YOL,R,28.92,,YOLO/COLUSA COUNTY (COUNTY LINE ROAD ),3200,37000,33000,,,
4918605.62461272,4149218.12378314,5522,3,5,,YOL,R,28.92,,YOLO/COLUSA COUNTY (COUNTY LINE ROAD ),3200,37000,33000,,,
4986649.4632623,4054537.07331623,5523,3,5,,YOL,R,6.51,,"WOODLAND, EAST MAIN STREET",4250,54000,50000,5200,38000,33000
4986565.51231472,4054490.89591515,5524,3,5,,YOL,R,6.51,,"WOODLAND, EAST MAIN STREET",4250,54000,50000,5200,38000,33000
4985210.65216355,4057289.37981948,5525,3,5,,YOL,R,7.086,,"WOODLAND, JCT. RTE. 113",5500,44500,33500,8400,69000,56000
4985203.28767698,4057092.90449065,5526,3,5,,YOL,R,7.086,,"WOODLAND, JCT. RTE. 113",5500,44500,33500,8400,69000,56000
4981367.36752731,4061979.79104231,5527,3,5,,YOL,R,8.262,,"WOODLAND, JCT. RTE. 113 NORTH",7500,59000,49000,4700,53000,41000
4981333.75046855,4061893.89685714,5528,3,5,,YOL,R,8.262,,"WOODLAND, JCT. RTE. 113 NORTH",7500,59000,49000,4700,53000,41000
4976088.73635231,4064682.81778848,5529,3,5,,YOL,R,9.411,,"COUNTY ROAD 99, WEST STREET",4700,53000,41000,4700,46000,36500
4976082.35874039,4064537.47851223,5530,3,5,,YOL,R,9.411,,"COUNTY ROAD 99, WEST STREET",4700,53000,41000,4700,46000,36500
5017925.23076314,4051563.32368632,5531,3,5,,YOL,,0.52,,ELKHORN ROAD,4750,64000,59000,4950,72000,59000
5017930.06900805,4051472.13029915,5532,3,5,,YOL,,0.52,,ELKHORN ROAD,4750,64000,59000,4950,72000,59000
5020566.86688405,4051409.24459815,5533,3,5,,YOL,,0,,SACRAMENTO/YOLO COUNTY LINE,,,,4750,64000,59000
5020666.81156605,4051308.56107248,5534,3,5,,YOL,,0,,SACRAMENTO/YOLO COUNTY LINE,,,,4750,64000,59000
4991371.57684955,4053120.16046764,5535,3,5,,YOL,,5.53,,COUNTY ROAD 102,5100,71000,60000,4250,54000,50000
4991370.67790122,4053027.13276656,5536,3,5,,YOL,,5.53,,COUNTY ROAD 102,5100,71000,60000,4250,54000,50000
5096002.8685708,4159401.19429623,5537,3,65,,PLA,L,23.168,,RIOSA RD NB 65,1900,22900,21500,2000,24200,22800
5095945.58390847,4159386.01289615,5538,3,65,,PLA,L,23.168,,RIOSA RD NB 65,1900,22900,21500,2000,24200,22800
5095963.7229798,4159527.83019781,5539,3,65,,PLA,L,23.193,,RIOSA RD,1900,23000,21500,2000,24200,22800
5095908.31396988,4159513.2872479,5540,3,65,,PLA,L,23.193,,RIOSA RD,1900,23000,21500,2000,24200,22800
5116646.36796613,4092338.05348839,5541,3,65,,PLA,M,8.258,,WASHINGTON BOULEVARD,8100,107000,81000,6800,91000,88000
5116572.78117105,4092332.16012748,5542,3,65,,PLA,M,8.258,,WASHINGTON BOULEVARD,8100,107000,81000,6800,91000,88000
5117355.42757164,4111654.32850406,5543,3,65,,PLA,R,11.921,,TWELVE BRIDGES OVERCROSSING,5900,73000,70000,5900,68000,66000
5117249.43532956,4111664.90361415,5544,3,65,,PLA,R,11.921,,TWELVE BRIDGES OVERCROSSING,5900,73000,70000,5900,68000,66000
5117504.55424188,4114281.52272473,5545,3,65,,PLA,R,12.412,,INDUSTRIAL AVENUE,5900,69000,66000,5700,66000,64000
5117387.48000097,4114198.28831114,5546,3,65,,PLA,R,12.412,,INDUSTRIAL AVENUE,5900,69000,66000,5700,66000,64000
5115500.27248931,4118750.15584782,5547,3,65,,PLA,R,13.359,,FERRARI RANCH RD,5700,67000,65000,2900,35000,32500
5115407.53514197,4118683.28852747,5548,3,65,,PLA,R,13.359,,FERRARI RANCH RD,5700,67000,65000,2900,35000,32500
5106407.46488756,4125008.18040523,5549,3,65,,PLA,R,15.546,,NELSON LANE,1650,30000,28500,1900,22900,21600
5106402.53937247,4124945.14280164,5550,3,65,,PLA,R,15.546,,NELSON LANE,1650,30000,28500,1900,22900,21600
5106291.83749413,4125017.82507098,5551,3,65,,PLA,R,15.568,,NELSON RD NB 65,1900,30000,28500,1900,22900,21600
5106283.92445222,4124953.43576406,5552,3,65,,PLA,R,15.568,,NELSON RD NB 65,1900,30000,28500,1900,22900,21600
5098557.92678089,4129487.06580439,5553,3,65,,PLA,R,17.446,,NICOLAUS ROAD,1900,22900,22200,1900,23200,22800
