objectid_1,objectid,statehwy,hov,toll,name2,nm,iyr,ifc,sd,fxnm,txnm,globalid,shape_Length
170,170,0,0,0, ,ORANGETHORPE,1995,3,0,DEL CERRO,E CHAPMAN,{5683B178-EEBE-47BF-B4A2-84ADB770C09F},1686.367193392723038
171,171,1,0,0, ,SR-91,1995,1,0, , ,{1720EAF2-38A8-4F23-91E0-810E7B8A4946},4483.454490986347082
172,172,1,0,0, ,SR-91,1995,1,0, , ,{5F7D9ED1-E582-4D82-BD7C-D2FBF4518AC6},4335.623698081383736
173,173,1,0,0, ,SR-91,1995,1,0, , ,{728238DC-4825-4024-8ED2-1136FF0B998C},5539.462957533096414
174,174,1,0,0, ,SR-91,1995,1,0, , ,{56CEE3F3-607A-49CC-8A3B-F5C7E26DD1FF},5458.188387822606273
175,175,1,0,0, ,SR-91,1995,1,0, , ,{FF4A799C-6B8C-4640-BD73-8BB6A5E9B995},5006.213980825346880
176,176,1,0,0, ,SR-91,1995,1,0, , ,{8289A93F-F20A-4C95-BC1D-233C1366C28D},4991.980793280693433
177,177,1,0,0, ,SR-91,1995,1,0, , ,{4E8685F7-FDFD-44FF-819B-EC6451B8E505},13779.895459130937525
178,178,0,0,0, ,LAKEVIEW,1995,3,0,E ORANGETHORPE,FLORA,{A91CB87A-F322-4BFA-9DBB-5F3E4BF1092D},7809.749740630313681
179,179,0,0,0, ,ORANGETHORPE,1995,3,0,S LAKEVIEW,DEL CERRO,{29525331-7EA5-4D31-9C13-43948BF5CD3A},7371.127670586365639
180,180,1,0,0, ,I-5,1995,1,0, , ,{5B0D0459-392E-4758-B8B2-CEA0452F5054},1417.244844520376773
181,181,0,0,0, ,ORANGETHORPE,1995,3,0,KRAEMER,E CHAPMAN,{815F9933-6A06-4C50-9531-70C298BB032F},4596.841521469412328
182,182,0,0,0, ,KRAEMER,1995,3,0,ORANGETHORPE,E CHAPMAN,{4A4A133F-5450-4BB7-882C-30B7C4D7F84D},2258.620177031873936
183,183,1,0,0, ,SR-91,1995,1,0, , ,{151868B2-F74A-448F-A339-B13D3EE31BB9},5009.962958035522206
184,184,1,0,0, ,SR-91,1995,1,0, , ,{A9CF3A43-CB0D-437E-8BFF-6E0AF820EA1D},5969.875731338742298
185,185,1,0,0, ,I-5,1995,1,0, , ,{918CBA95-DF1E-4328-B316-E683F5CC1B78},1790.546267843304577
186,186,1,0,0, ,I-5,1995,1,0, , ,{B6D71B64-1D66-434B-A790-FB7B735FDAFC},1740.986594752011342
187,187,1,0,0, ,SR-90,1995,2,0, , ,{648A763E-2F4C-4858-96D3-8641D24D9D3A},11705.520600997031579
188,188,0,0,0, ,ORANGETHORPE,1995,3,0,ORANGETHORPE,LAKEVIEW,{4B954E5D-9C12-4ED3-BDE2-193DD9E38DE9},8648.581476003239004
189,189,0,0,0, ,ORANGETHORPE,1995,3,0,MONROE,KRAEMER,{7E2CAF07-638A-42C6-B475-B9A926ECC147},4558.673742848472102
190,190,1,0,0, ,SR-57,1995,1,0, , ,{4ABE4432-CDC1-4AD1-9BC0-FD2BC821830D},4759.271803582683788
191,191,1,0,0, ,SR-39,1995,2,0, , ,{A219E573-6F73-4E25-9860-798BD6186AB3},2642.517040835348780
192,192,1,0,0, ,SR-91,1995,1,0, , ,{4209B785-81D2-44F2-8A19-A16480A1EEB7},2676.385899883396633
193,193,0,0,0, ,ORANGETHORPE,1995,3,0,CARMENTIA,WALKER,{9A05E808-A5E8-4C57-A512-2FA49C40A03F},2412.722377854370734
